Title                                         | Platform | Size    | B | Notes
----------------------------------------------|----------|---------|---|-------
Age of Empires II: Gold Edition               | PC       |   513MB |   | 
Age of Empires II: HD Edition                 | Steam    |  3924MB | X | needs setup.exe
Alice: Madness Returns                        | Steam    |  8185MB | X | needs setup.exe
Amnesia: The Dark Descent                     | Steam    |  2359MB | X | needs setup.exe
Among the Sleep                               | Steam    |  2984MB | X | needs setup.exe
Anomaly Warzone Earth                         | PC       |   483MB |   | 
Apeture Tag: The Paint Gun Testing Initiative | Steam    |  3018MB | X | needs setup.exe
Assassin's Creed: Brotherhood                 | PC       |  7.79GB | X | 
Assassin's Creed                              | PC       |  6.47GB | X | 
Assassin's Creed 3                            | PC       |  7.71GB | X | 
Assassin's Creed Chronicles: China            | Steam    |  3453MB |   | 
Assassin's Creed II                           | PC       |  6.32GB | X | 
Assassin's Creed IV Black Flag                | Steam    | 26248MB |   | 
Assassin's Creed Revelations                  | Steam    |  9674MB | X | needs setup.exe
Assassin's Creed Rogue                        | UPlay    | 40000MB |   | 
Assassin's Creed Syndicate                    | UPlay    | 42231MB |   | 
Assassin's Creed Unity                        | Steam    | 50696MB |   | 
Baldur's Gate II                              | PC       |  3.06GB |   | 
Batman: Arkham Asylum                         | Steam    |  8078MB |   | 
Batman: Arkham City                           | Steam    | 19024MB |   | 
Batman: Arkham Origins                        | Steam    | 18643MB |   | 
Battlefield 3                                 | PC       |  13.5GB |   | 
Battlefield Bad Company 2                     | PC       |  6.04GB |   | 
BioShock                                      | Steam    |  5703MB | X | needs setup.exe
BioShock 2                                    | Steam    | 12432MB |   | 
BioShock Infinte                              | Steam    | 42342MB |   | 
Black & White II                              | PC       |  2.57GB |   | 
Bleed                                         | Steam    |   292MB |   | 
Braid                                         | PC       |   139MB | X | 
Call of Duty 4: Modern Warfare                | PC       |  6.75GB | X | 
Call of Duty: Modern Warfare 2                | PC       |  11.0GB |   | 
Call of Duty: Modern Warfare 3                | PC       |  13.8GB |   | 
Call of Duty: World at War                    | PC       |  6.96GB | X | 
Company of Heros                              | Steam    | 11861MB |   | 
Company of Heros: Opposing Fronts             | Steam    | 13347MB |   | 
Company of Heros: Tales of Valor              | Steam    | 11952MB |   | 
Cosmic DJ                                     | Steam    |   566MB | X | needs setup.exe
Counter-Strike: Source                        | Steam    |  4370MB | X | needs setup.exe
Crazy Machines 2                              | Steam    |   622MB |   | 
Crysis                                        | PC       |   5.9GB | X | 
Crysis Warhead                                | PC       |  5.19GB | X | 
Crysis 2                                      | PC       |  9.23GB | X | 
Dark Fall: Lost Souls                         | PC       |  1.09GB |   | 
Darksiders                                    | PC       |  13.7GB |   | cover printed
Dead Island                                   | Steam    |  9507MB | X | 
Dead Space                                    | Steam    | 12573MB | X | 
Dead Space 2                                  | Steam    |  9557MB | X | 
Dear Esther                                   | Steam    |  1416MB | X | needs setup.exe
DiRT 2                                        | PC       |  6.83GB |   | 
Diablo                                        | PC       |   640MB | X | 
Diablo II                                     | PC       |  1.50GB | X | 
Diablo II: Lord of Destruction                | PC       |   512MB | X | 
Diablo: Hellfire                              | PC       |   763MB | X | 
Dishonored                                    | PC       |  5.54GB | X | 
Doom                                          | DOS      |    17MB | X | 
Dragon Age: Origins                           | Steam    | 15872MB |   | 
Dragon Age II                                 | Origin   |  5.09GB |   | 
#Dust: An Elysian Tail                        | Steam    |  1531MB |   | 
Dustforce                                     | Steam    |   508MB | X | 
The Elder Scrolls IV: Oblivion                | PC       |  4.15GB | X | 
The Elder Scrolls V: Skyrim                   | PC       |  5.12GB | X | 
F.E.A.R                                       | Steam    |  7.43GB | X | needs setup.exe
F.E.A.R. 2: Project Origin                    | Steam    | 12739MB |   | cover done
F.E.A.R. 2: Reborn                            | Steam    |     0KB | X | needs setup.exe
F.E.A.R. 3                                    | Steam    |  4248MB | X | needs setup.exe
F.E.A.R. Extraction Point                     | Steam    |     0KB | X | needs setup.exe
F.E.A.R. Perseus Mandate                      | Steam    |     0KB | X | needs setup.exe
FEZ                                           | Steam    |   535MB | X | needs setup.exe
Fallout 3                                     | Steam    |  9035MB | X | needs setup.exe
Fallout: New Vegas                            | Steam    |  9448MB | X | needs setup.exe
Far Cry                                       | Steam    |  4051MB | X | needs setup.exe
Far Cry 2                                     | Steam    |  3756MB | X | needs setup.exe
Far Cry 3                                     | Steam    | 11311MB |   | 
